circuitName,circuitId,allPositions,p_value2,podiumPositions,p_value
Sepang International Circuit,2.0,0.4055786549663482,0.00018976946866779856,-0.039840953644479794,0.8835317679066879
Baku City Circuit,73.0,0.4506635455511897,2.003972497479007e-06,0.1687212703727636,0.47703283561397786
Albert Park Grand Prix Circuit,1.0,0.4871757159292749,2.386933011311794e-07,0.4067889436013491,0.05406097091884333
Bahrain International Circuit,3.0,0.49659929948052095,2.390447737193665e-12,0.47083816732602635,0.0037530256036070343
Red Bull Ring,70.0,0.5152733531665763,4.284242125331234e-15,0.32665791295323227,0.039660191216751524
Hockenheimring,10.0,0.5203283266584395,3.913768199765967e-07,0.5173147339533689,0.04015198425909501
Circuit de Monaco,6.0,0.5282793135413394,1.1946836708687966e-11,0.34386515270268847,0.07318182944004062
Marina Bay Street Circuit,15.0,0.5349409986532441,1.8438323101311526e-10,0.20625521645387554,0.3335690933626892
Circuit of the Americas,69.0,0.5466794742725923,3.355036429178031e-12,0.6443562081158553,0.00021505782022147938
Hungaroring,11.0,0.5554442870884455,1.4118008387541595e-14,0.3260540899076277,0.06857788669052985
Circuit de Spa-Francorchamps,13.0,0.5564387884000231,1.4957035294648955e-14,0.4958847036804647,0.003898779797958896
Autodromo Nazionale di Monza,14.0,0.5888540616592277,1.1044111424386417e-16,0.18450179089979996,0.31207026173905106
Autódromo José Carlos Pace,18.0,0.5918465126416673,1.3534170647719916e-14,0.5475646896369193,0.002561777105553576
Circuit de Barcelona-Catalunya,4.0,0.6090105851115406,5.05988814364513e-18,0.46764472496228016,0.006958129954584085
Autódromo Hermanos Rodríguez,32.0,0.6415963484328321,1.6887355172579397e-15,0.33405383234700164,0.11062719284755157
Sochi Autodrom,71.0,0.6473895901214648,9.827206510148366e-21,0.6668156330523184,3.081142935298646e-05
Shanghai International Circuit,17.0,0.6788368608631217,4.548657887415439e-18,0.4405510334031477,0.031191343637197718
Suzuka Circuit,22.0,0.6853021738365332,1.6480886563840208e-18,0.5796671338052435,0.0029901549185733776
Silverstone Circuit,9.0,0.6873368171277073,6.293998904713803e-27,0.6765261943873464,5.9106886620129805e-06
Yas Marina Circuit,24.0,0.6905760324856149,5.3491918886262084e-24,0.5479490295253897,0.001168701911921
Circuit Gilles Villeneuve,7.0,0.7163885232615161,8.455967380271162e-21,0.472255238112372,0.019798485963497075
Circuit Paul Ricard,34.0,0.7839598997493735,1.292095054120459e-13,0.701176051737703,0.011062789298233506
